caller_number,receiver_number,call_date,call_time,duration_seconds,tower_location
9810345671,9911223344,2026-08-08,09:14:22,124,Delhi-Connaught Place
9953012478,9818765432,2026-08-08,11:02:10,45,Noida-Sector 62
9711234098,9899871234,2026-08-08,14:37:55,312,Delhi-Karol Bagh
8800123456,9013456789,2026-08-08,19:21:03,78,Gurgaon-Sector 29
9958234170,9650123987,2026-08-09,08:45:41,205,Delhi-Lajpat Nagar
9999045612,9810987650,2026-08-09,12:10:09,33,Noida-Sector 18
7011234567,9873456012,2026-08-09,17:55:30,540,Delhi-Dwarka
9560123478,9716543210,2026-08-09,21:03:17,96,Ghaziabad-Indirapuram
9811122001,9876543210,2026-08-10,10:12:44,187,Noida-Sector 18
9312345098,9871234560,2026-08-10,13:28:19,66,Delhi-Rohini
9899123400,9958001234,2026-08-10,16:47:02,410,Delhi-Saket
8595012345,9810234567,2026-08-10,20:15:36,152,Noida-Sector 62
9811122001,9876543210,2026-08-11,09:33:05,243,Noida-Sector 18
9717345612,9818123456,2026-08-11,11:50:48,29,Delhi-Janakpuri
9910234561,9650987123,2026-08-11,15:22:11,375,Gurgaon-Sector 14
9811122001,9876543210,2026-08-11,22:41:59,96,Noida-Sector 16
9873012345,9999123450,2026-08-12,07:58:27,58,Delhi-Vasant Kunj
9899033442,9876543210,2026-08-12,10:05:13,221,Ghaziabad-Vaishali
9013567824,9711098765,2026-08-12,13:40:52,133,Noida-Sector 62
9899033442,9876543210,2026-08-12,18:19:40,164,Ghaziabad-Vaishali
9650234178,9810456123,2026-08-12,21:07:08,287,Delhi-Pitampura
9899033442,9876543210,2026-08-13,08:26:31,102,Ghaziabad-Kaushambi
9958345670,9871098234,2026-08-13,12:33:45,49,Delhi-Nehru Place
9718804455,9876543210,2026-08-13,15:11:20,275,Noida-Sector 137
8802345671,9911567890,2026-08-13,19:48:02,340,Delhi-Mayur Vihar
9718804455,9876543210,2026-08-13,23:02:16,58,Noida-Sector 137
9810678123,9560234789,2026-08-14,09:09:54,71,Gurgaon-Sector 29
9718804455,9876543210,2026-08-14,11:36:28,198,Noida-Sector 135
9711456230,9899345012,2026-08-14,14:24:37,415,Delhi-Karol Bagh
9718804455,9876543210,2026-08-14,17:52:09,143,Noida-Sector 135
9312098765,9810765432,2026-08-14,20:30:12,88,Delhi-Rohini
9953456712,9717234509,2026-08-15,08:12:33,360,Noida-Sector 62
9871345620,9650765123,2026-08-15,10:44:50,27,Delhi-Connaught Place
8700123499,9899456712,2026-08-15,13:18:06,194,Delhi-Dwarka
9911789034,9958567123,2026-08-15,16:57:21,512,Gurgaon-Sector 14
9560345671,9810123098,2026-08-15,21:39:44,63,Ghaziabad-Indirapuram
9999234567,9718456123,2026-08-16,09:01:15,231,Delhi-Lajpat Nagar
9650890123,9873567012,2026-08-16,12:26:38,47,Noida-Sector 18
9818234509,9911345670,2026-08-16,15:50:57,306,Delhi-Saket
9013789456,9999456120,2026-08-16,19:14:02,119,Delhi-Janakpuri
