caller_number,receiver_number,call_date,call_time,duration_seconds,tower_location
9835942492,9854162664,2026-03-03,15:47:51,108,Delhi-Central-Cell-102
9835942492,9854162664,2026-03-05,17:40:07,133,Bengaluru-Whitefield-Node-3
9835942492,9854162664,2026-03-06,16:46:04,195,Mumbai-South-Bandra-08
9854162664,9835942492,2026-03-07,09:16:00,289,Gurugram-CyberCity-Relay-12
9853758773,9854162664,2026-03-02,11:46:12,206,Noida-Sector62-Tower-4
9854162664,9853758773,2026-03-10,20:42:47,241,Mumbai-South-Bandra-08
9854162664,9853758773,2026-03-04,22:33:45,568,Noida-Sector62-Tower-4
9853758773,9854162664,2026-03-09,22:00:21,565,Noida-Sector62-Tower-4
9818442154,9854162664,2026-03-15,10:07:07,86,Mumbai-South-Bandra-08
9854162664,9818442154,2026-03-12,21:39:38,138,Gurugram-CyberCity-Relay-12
9854162664,9818442154,2026-03-03,19:03:07,340,Bengaluru-Whitefield-Node-3
9854162664,9840751628,2026-03-05,12:15:10,442,Bengaluru-Whitefield-Node-3
9854162664,9840751628,2026-03-13,21:56:58,385,Delhi-Central-Cell-102
9854162664,9825954738,2026-03-15,11:30:15,250,Mumbai-South-Bandra-08
9825954738,9854162664,2026-03-03,15:28:31,243,Gurugram-CyberCity-Relay-12
9854162664,9825954738,2026-03-13,22:12:21,84,Noida-Sector62-Tower-4
9824871209,9835942492,2026-03-01,20:57:24,176,Gurugram-CyberCity-Relay-12
9824871209,9835942492,2026-03-11,19:41:43,423,Mumbai-South-Bandra-08
9835942492,9824871209,2026-03-05,21:03:29,354,Delhi-Central-Cell-102
9835942492,9840751628,2026-03-06,15:54:02,438,Delhi-Central-Cell-102
9840751628,9835942492,2026-03-04,08:24:08,545,Mumbai-South-Bandra-08
9882118943,9824871209,2026-03-03,14:44:42,493,Gurugram-CyberCity-Relay-12
9882118943,9824871209,2026-03-14,19:13:43,336,Mumbai-South-Bandra-08
9882118943,9824871209,2026-03-03,16:42:31,349,Noida-Sector62-Tower-4
9824871209,9882118943,2026-03-14,16:02:03,588,Delhi-Central-Cell-102
9840751628,9882118943,2026-03-13,19:31:18,512,Gurugram-CyberCity-Relay-12
9840751628,9882118943,2026-03-03,13:30:15,184,Mumbai-South-Bandra-08
9853758773,9818442154,2026-03-02,17:48:30,144,Bengaluru-Whitefield-Node-3
9853758773,9818442154,2026-03-11,15:17:52,399,Mumbai-South-Bandra-08
9818442154,9853758773,2026-03-02,16:50:14,596,Bengaluru-Whitefield-Node-3
9824871209,9818442154,2026-03-12,14:48:11,100,Gurugram-CyberCity-Relay-12
9824871209,9818442154,2026-03-10,09:00:10,306,Noida-Sector62-Tower-4
9824871209,9818442154,2026-03-09,19:18:33,297,Bengaluru-Whitefield-Node-3
9818442154,9840751628,2026-03-02,11:08:03,237,Mumbai-South-Bandra-08
9818442154,9840751628,2026-03-03,15:31:19,233,Noida-Sector62-Tower-4
9818442154,9840751628,2026-03-08,14:30:50,105,Noida-Sector62-Tower-4
9818442154,9840751628,2026-03-15,09:36:16,228,Delhi-Central-Cell-102
9824871209,9840751628,2026-03-01,10:17:14,208,Mumbai-South-Bandra-08
9840751628,9824871209,2026-03-14,11:20:09,387,Gurugram-CyberCity-Relay-12
9824871209,9840751628,2026-03-14,19:24:20,276,Bengaluru-Whitefield-Node-3
9824871209,9826165867,2026-03-09,14:50:10,194,Delhi-Central-Cell-102
9824871209,9826165867,2026-03-09,14:52:56,229,Gurugram-CyberCity-Relay-12
9824871209,9826165867,2026-03-08,22:36:13,173,Delhi-Central-Cell-102
9825954738,9836959116,2026-03-13,21:25:56,56,Gurugram-CyberCity-Relay-12
9836959116,9825954738,2026-03-03,16:38:47,460,Delhi-Central-Cell-102
9836959116,9825954738,2026-03-10,13:39:05,226,Noida-Sector62-Tower-4
9825954738,9836959116,2026-03-09,21:43:52,360,Delhi-Central-Cell-102
9836959116,9851867404,2026-03-07,13:45:32,250,Bengaluru-Whitefield-Node-3
9836959116,9851867404,2026-03-03,11:51:23,221,Delhi-Central-Cell-102
9836959116,9883623360,2026-03-11,11:19:56,496,Gurugram-CyberCity-Relay-12
9836959116,9883623360,2026-03-11,15:22:44,84,Gurugram-CyberCity-Relay-12
9836959116,9883623360,2026-03-13,09:23:22,380,Delhi-Central-Cell-102
9836959116,9883623360,2026-03-13,21:29:24,352,Noida-Sector62-Tower-4
9835838954,9836959116,2026-03-03,21:34:12,183,Bengaluru-Whitefield-Node-3
9836959116,9835838954,2026-03-05,20:55:37,150,Noida-Sector62-Tower-4
9835838954,9851867404,2026-03-01,22:11:39,469,Gurugram-CyberCity-Relay-12
9835838954,9851867404,2026-03-06,17:21:47,194,Mumbai-South-Bandra-08
9851867404,9835838954,2026-03-09,20:57:14,489,Delhi-Central-Cell-102
9851867404,9835838954,2026-03-06,21:12:15,383,Noida-Sector62-Tower-4
9851867404,9830675485,2026-03-15,12:05:19,596,Gurugram-CyberCity-Relay-12
9851867404,9830675485,2026-03-01,19:14:15,79,Bengaluru-Whitefield-Node-3
9830675485,9851867404,2026-03-11,17:25:05,516,Gurugram-CyberCity-Relay-12
9830675485,9851867404,2026-03-07,21:57:24,441,Gurugram-CyberCity-Relay-12
9883623360,9835838954,2026-03-10,09:16:19,525,Delhi-Central-Cell-102
9883623360,9835838954,2026-03-03,08:14:31,208,Delhi-Central-Cell-102
9813191941,9883623360,2026-03-15,16:37:18,238,Mumbai-South-Bandra-08
9883623360,9813191941,2026-03-14,15:04:56,209,Gurugram-CyberCity-Relay-12
9830675485,9835838954,2026-03-15,10:05:48,249,Bengaluru-Whitefield-Node-3
9830675485,9835838954,2026-03-14,12:02:53,232,Gurugram-CyberCity-Relay-12
9835838954,9830675485,2026-03-12,18:03:25,78,Noida-Sector62-Tower-4
9835838954,9830675485,2026-03-09,19:53:59,90,Bengaluru-Whitefield-Node-3
9879303793,9826165867,2026-03-08,09:46:24,199,Mumbai-South-Bandra-08
9826165867,9879303793,2026-03-14,21:33:39,383,Bengaluru-Whitefield-Node-3
9884639739,9879303793,2026-03-09,08:26:09,593,Mumbai-South-Bandra-08
9884639739,9879303793,2026-03-11,21:10:43,305,Bengaluru-Whitefield-Node-3
9813191941,9826165867,2026-03-12,09:11:06,506,Noida-Sector62-Tower-4
9826165867,9813191941,2026-03-12,11:03:33,51,Noida-Sector62-Tower-4
9813191941,9826165867,2026-03-06,11:30:05,170,Delhi-Central-Cell-102
9884639739,9813191941,2026-03-13,18:15:31,503,Delhi-Central-Cell-102
9813191941,9884639739,2026-03-14,19:54:23,111,Noida-Sector62-Tower-4
9884639739,9813191941,2026-03-03,08:38:50,500,Noida-Sector62-Tower-4
9884639739,9813191941,2026-03-10,09:51:00,84,Delhi-Central-Cell-102
